Date,TemperatureRessentie
2024-01-01,32.49
2024-01-01,25.22
2024-01-01,31.26
2024-01-01,37.2
2024-01-01,38.32
2024-01-01,39.19
2024-01-01,37.68
2024-01-01,36.09
2024-01-01,35.39
2024-01-01,35.42
2024-01-01,35.59
2024-01-01,32.72
2024-01-02,32.76
2024-01-02,34.78
2024-01-02,34.79
2024-01-02,35.37
2024-01-02,35.27
2024-01-02,35.71
2024-01-02,37.06
2024-01-02,38.22
2024-01-02,37.51
2024-01-02,37.86
2024-01-02,38.56
2024-01-02,39.98
2024-01-02,37.8
2024-01-02,35.4
2024-01-02,34.38
2024-01-02,31.19
2024-01-02,27.2
2024-01-02,29.68
2024-01-02,34.73
2024-01-02,36.3
2024-01-02,32.74
2024-01-02,28.61
2024-01-02,25.81
2024-01-02,27.56
2024-01-03,32.21
2024-01-03,34.13
2024-01-03,34.06
2024-01-03,34.55
2024-01-03,35.76
2024-01-03,35.83
2024-01-03,35.54
2024-01-03,40.09
2024-01-03,47.68
2024-01-03,50.61
2024-01-03,48.9
2024-01-03,47.88
2024-01-03,44.25
2024-01-03,41.84
2024-01-03,41.99
2024-01-03,39.38
2024-01-03,38.65
2024-01-03,39.86
2024-01-03,33.09
2024-01-03,29.46
2024-01-03,33.64
2024-01-03,35.83
2024-01-03,35.82
2024-01-03,35.85
2024-01-04,35.9
2024-01-04,35.17
2024-01-04,34.91
2024-01-04,34.93
2024-01-04,34.04
2024-01-04,33.02
2024-01-04,35.69
2024-01-04,41.9
2024-01-04,45.43
2024-01-04,46.32
2024-01-04,45.36
2024-01-04,46.34
2024-01-04,46.22
2024-01-04,40.88
2024-01-04,31.39
2024-01-04,24.12
2024-01-04,26.2
2024-01-04,31.76
2024-01-04,32.18
2024-01-04,30.96
2024-01-04,31.04
2024-01-04,30.91
2024-01-04,32.22
2024-01-04,35.66
2024-01-05,35.73
2024-01-05,35.72
2024-01-05,35.71
2024-01-05,35.69
2024-01-05,35.69
2024-01-05,35.73
2024-01-05,35.28
2024-01-05,37.68
2024-01-05,41.56
2024-01-05,43.66
2024-01-05,42.91
2024-01-05,43.49
2024-01-05,39.69
2024-01-05,34.32
2024-01-05,31.13
2024-01-05,29.18
2024-01-05,27.5
2024-01-05,25.48
2024-01-05,23.61
2024-01-05,22.35
2024-01-05,22.1
2024-01-05,22.23
2024-01-05,25.56
2024-01-05,31.04
2024-01-06,35.79
2024-01-06,30.29
2024-01-06,28.85
2024-01-06,25.77
2024-01-06,23.05
2024-01-06,27.06
2024-01-06,26.59
2024-01-06,28.54
2024-01-06,35.63
2024-01-06,38.53
2024-01-06,38.3
2024-01-06,37.45
2024-01-06,39.5
2024-01-06,40.62
2024-01-06,36.0
2024-01-06,33.28
2024-01-06,34.7
2024-01-06,31.94
2024-01-06,24.02
2024-01-06,21.89
2024-01-06,21.43
2024-01-06,20.89
2024-01-06,18.87
2024-01-06,18.27
2024-01-07,18.99
2024-01-07,23.39
2024-01-07,25.0
2024-01-07,21.27
2024-01-07,19.99
2024-01-07,18.65
2024-01-07,21.82
2024-01-07,28.71
2024-01-07,34.04
2024-01-07,34.27
2024-01-07,31.49
2024-01-07,34.75
2024-01-07,39.58
2024-01-07,39.51
2024-01-07,36.17
2024-01-07,33.78
2024-01-07,34.12
2024-01-07,32.07
2024-01-07,24.15
2024-01-07,18.05
2024-01-07,18.09
2024-01-07,20.55
2024-01-07,21.85
2024-01-07,23.12
2024-01-08,23.74
2024-01-08,26.66
2024-01-08,29.26
2024-01-08,28.42
2024-01-08,28.29
2024-01-08,28.69
2024-01-08,30.53
2024-01-08,32.75
2024-01-08,33.43
2024-01-08,37.37
